ID,NOM_TL,ADRESSE,CP,COMINIT,INSEECOM,NOMCOM,WEB,TWITTER,FACEBOOK,TYPO,LAT,LONG,GEOCOD,PRECISION,CONTACT,MAIL,METRO,NOMMETRO,INSEEREG,NOMREG,INSEEMETRO,INSEEDEP,NOMCOMMETRO,POPCOM,COMCLASS,INSEE_ZE,NOM_ZE,CLASS_ZE,POP_ZE
1,ADE Coworking,9 Rue du Petit Châtelier,44300,Nantes,44109,Nantes,www.ade-coworking.net,,,Tiers lieux à dominante coworking,47.245935,-1.505602,9 Rue du Petit Châtelier 44300 Nantes,0.94,,,1,Nantes Métropole,52,Pays de la Loire,44109,44,Nantes,298029,100000 et plus,5203,NANTES,500 000-6 000 000,1061271
2,Anticafé,6 Rue du Château d'Eau,75010,Paris,75110,Paris,www.anticafe.eu,,,Tiers lieux à dominante coworking,48.869483,2.361539,6 Rue du Château d'Eau 75010 Paris,0.95,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
3,Co-Factory,677 Avenue de la République,59800,Lille,59350,Lille,www.co-factory.fr,,,Tiers lieux à dominante coworking,50.65505,3.08581,Avenue de la République 59800 Lille,0.85,,,1,Métropole Européenne de Lille,32,Hauts-de-France,59378,59,Marcq-en-Baroeul,39291,20000-50000,3111,LILLE,500 000-6 000 000,805074
4,Cowork In Grenoble,16 Boulevard Maréchal Lyautey,38000,Grenoble,38185,Grenoble,www.co-work.fr,,,Tiers lieux à dominante coworking,45.18532,5.731603,16 Boulevard Maréchal Lyautey 38000 Grenoble,0.94,,,1,Métropole Grenoble-Alpes-Métropole,84,Auvergne et Rhône-Alpes,38185,38,Grenoble,160779,100000 et plus,8210,GRENOBLE,500 000-6 000 000,813732
5,Cowork'in Bourges,20 chemin des Goulevents,18000,Bourges,18033,Bourges,www.coworkinbourges.fr,,,Tiers lieux à dominante coworking,47.072636,2.371269,Chemin des Goulevents 18000 Bourges,0.86,,,0,,24,Centre-Val de Loire,18033,18,Bourges,66528,50000-100000,2401,BOURGES,100 000-200 000,196888
6,Coworking Plaine Images,99 A boulevard Constantin Descat,59200,Tourcoing,59599,Tourcoing,www.plaine-images.fr,,,Tiers lieux à dominante coworking,50.701083,3.157922,99 A Boulevard Constantin Descat 59200 Tourcoing,0.93,,,1,Métropole Européenne de Lille,32,Hauts-de-France,59599,59,Tourcoing,95329,50000-100000,3110,ROUBAIX - TOURCOING,200 000-500 000,427439
7,Craft,24 Rue des Vinaigriers,75010,Paris,75110,Paris,www.cafe-craft.com,,,Tiers lieux à dominante coworking,48.873196,2.363061,24 Rue des Vinaigriers 75010 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
8,Dot Parade,26 Bis Rue des Olivettes,44000,Nantes,44109,Nantes,www.dotparade.com,,,Tiers lieux à dominante coworking,47.210413,-1.549211,26 BIS Rue des Olivettes 44000 Nantes,0.94,,,1,Nantes Métropole,52,Pays de la Loire,44109,44,Nantes,298029,100000 et plus,5203,NANTES,500 000-6 000 000,1061271
9,Hubsy Café,41 Rue Réaumur,75003,Paris,75103,Paris,www.hubsy.fr,,,Tiers lieux à dominante coworking,48.865773,2.354178,41 Rue Réaumur 75003 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
10,Intencity,6 Rue d'Estienne d'Orves,92110,Clichy,92024,Clichy,www.intencity.fr,,,Tiers lieux à dominante coworking,48.905802,2.302557,6 Rue d'Estienne d'Orves 92110 Clichy,0.93,,,1,Métropole du Grand Paris,11,Île-de-France,92024,92,Clichy,59783,50000-100000,1101,PARIS,500 000-6 000 000,5981175
11,La Chapelle Coworking,134 Rue Paul Bellamy,44000,Nantes,44109,Nantes,www.la-chapelle-coworking.fr,,,Tiers lieux à dominante coworking,47.228441,-1.561784,134 Rue Paul Bellamy 44000 Nantes,0.95,,,1,Nantes Métropole,52,Pays de la Loire,44109,44,Nantes,298029,100000 et plus,5203,NANTES,500 000-6 000 000,1061271
12,La Cordée,4 Quai Jean Moulin,69001,Lyon,69381,Lyon,www.la-cordee.netla-cordee-opera,,,Tiers lieux à dominante coworking,45.767281,4.837816,4 Quai Jean Moulin 69001 Lyon,0.93,,,1,Métropole de LYON,84,Auvergne et Rhône-Alpes,69123,69,Lyon,506615,100000 et plus,8214,LYON,500 000-6 000 000,1799726
13,La Fabrique,10 Rue Chaptal,34000,Montpellier,34172,Montpellier,www.lafabriquecoworking.net,,,Tiers lieux à dominante coworking,43.605128,3.870167,10 Rue Chaptal 34000 Montpellier,0.94,,,1,Montpellier Méditerranée Métropole,76,Occitanie,34172,34,Montpellier,275318,100000 et plus,9111,MONTPELLIER,500 000-6 000 000,664066
14,La Serre,27 Bis Allée Maurice Sarraut,31300,Toulouse,31555,Toulouse,www.la-serre.org,,,Tiers lieux à dominante coworking,43.594005,1.421281,27 B Allée Maurice Sarraut 31300 Toulouse,0.86,,,1,Toulouse Métropole,76,Occitanie,31555,31,Toulouse,466297,100000 et plus,61,TOULOUSE,500 000-6 000 000,1450345
15,L'Atelier du 9,9 Rue du Moulin l'Abbé,62280,Saint-Martin-Boulogne,62758,Saint-Martin-Boulogne,www.latelierdu9.fr,,,Tiers lieux à dominante coworking,50.728919,1.680657,9 Rue du Moulin l'Abbé 62280 Saint-Martin-Boulogne,0.91,,,0,,32,Hauts-de-France,62758,62,Saint-Martin-Boulogne,11391,5000-20000,3126,BOULOGNE-SUR-MER,100 000-200 000,161401
16,Lawomatic,20 Rue Jean Moinon,75010,Paris,75110,Paris,www.lawomatic.fr,,,Tiers lieux à dominante coworking,48.874175,2.371628,20 Rue Jean et Marie Moinon 75010 Paris,0.73,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
17,Le Laptop,6 Rue Arthur Rozier,75019,Paris,75119,Paris,www.lelaptop.com,,,Tiers lieux à dominante coworking,48.877348,2.390756,6 Rue Arthur Rozier 75019 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
18,Le Loft 50 Partners,62 Rue Jean-Jacques Rousseau,75001,Paris,75101,Paris,www.leloft50partners.com,,,Tiers lieux à dominante coworking,48.864084,2.343733,62 Rue Jean-Jacques Rousseau 75001 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
19,Le Petit Musc,28 Rue du Petit Musc,75004,Paris,75104,Paris,www.lepetitmusc.fr,,,Tiers lieux à dominante coworking,48.852846,2.364587,28 Rue du Petit Musc 75004 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
20,Now Coworking,53 Boulevard des Belges,76000,Rouen,76540,Rouen,www.now-coworking.com,,,Tiers lieux à dominante coworking,49.443954,1.084992,53 Boulevard des Belges 76000 Rouen,0.95,,,1,Métropole Rouen Normandie,28,Normandie,76540,76,Rouen,110618,100000 et plus,2307,ROUEN,500 000-6 000 000,834093
21,Panorama Coworking,18 Rue des Pontonniers,67000,Strasbourg,67482,Strasbourg,www.panorama-coworking.fr,,,Tiers lieux à dominante coworking,48.584292,7.757677,18 Rue des Pontonniers 67000 Strasbourg,0.94,,,1,Eurométropole de Strasbourg,44,Grand Est,67482,67,Strasbourg,276170,100000 et plus,4205,STRASBOURG,500 000-6 000 000,582412
22,Rooftop-Work,47 Avenue de la Grande Armée,75116,Paris,75116,Paris,www.rooftop-work.paris,,,Tiers lieux à dominante coworking,48.875304,2.289106,Avenue de la Grande Armée 75116 Paris,0.87,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
23,Start-Way,100 Boulevard Beaumarchais,75003,Paris,75103,Paris,www.start-way.com,,,Tiers lieux à dominante coworking,48.858225,2.367646,Boulevard Beaumarchais 75003 Paris,0.85,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
24,Weecolab,53 Rue Pomme d'Or,33300,Bordeaux,33063,Bordeaux,www.weecolab.com,,,Tiers lieux à dominante coworking,44.853688,-0.570485,Impasse de la Pomme d'Or 33300 Bordeaux,0.57,,,1,Bordeaux Métropole,75,Nouvelle Aquitaine,33063,33,Bordeaux,246586,100000 et plus,7204,BORDEAUX,500 000-6 000 000,1271647
25,Weréso,104 Rue nationale,59800,Lille,59350,Lille,www.wereso.com,,,Tiers lieux à dominante coworking,50.635371,3.058359,104 Rue Nationale 59800 Lille,0.95,,,1,Métropole Européenne de Lille,32,Hauts-de-France,59350,59,Lille,233897,100000 et plus,3111,LILLE,500 000-6 000 000,805074
26,CoWorking Moulins by Connecting Bourbon,1 place de Lattre de Tassigny,0,MOULINS,0,Moulins,,,,Tiers lieux à dominante coworking,46.562286,3.331255,PLACE A LA MAIN,0.99,,,0,,84,Auvergne et Rhône-Alpes,03190,03,Moulins,19762,5000-20000,8302,MOULINS,50 000-100 000,99559
27,L'Espace Hirwa,70 Place Denoyer,69640,LACENAS,69105,Lacenas,,,,Tiers lieux à dominante coworking,45.992871,4.645347,70 Place François Dénoyer 69640 Lacenas,0.7,,,0,,84,Auvergne et Rhône-Alpes,69105,69,Lacenas,942,0-5000,8213,VILLEFRANCHE-SUR-SAÔNE,200 000-500 000,255782
28,MIX,3 Place du Bourg,69340,Francheville,69089,Francheville,,,,Tiers lieux à dominante coworking,45.736718,4.764577,3 Place du Bourg 69340 Francheville,0.91,,,1,Métropole de LYON,84,Auvergne et Rhône-Alpes,69089,69,Francheville,14497,5000-20000,8214,LYON,500 000-6 000 000,1799726
29,COCwork,Ancien Château de Chevigny,21140,Millery,21413,Millery,,,,Tiers lieux à dominante coworking,47.512568,4.325376,Ancien Chateau de Chevigny 21140 Millery,0.91,,,0,,27,Bourgogne et Franche-Comté,21413,21,Millery,377,0-5000,2604,MONTBARD,0-50 000,31858
30,Away Hostel,21 rue Alsace Lorraine,69001,Lyon,69381,Lyon,,,,Tiers lieux à dominante coworking,45.770689,4.836758,21 Rue Alsace Lorraine 69001 Lyon,0.94,,,1,Métropole de LYON,84,Auvergne et Rhône-Alpes,69123,69,Lyon,506615,100000 et plus,8214,LYON,500 000-6 000 000,1799726
31,La Cordée Villeurbanne République,71 rue Francis de Pressensé,69100,Villeurbanne,69266,Villeurbanne,,,,Tiers lieux à dominante coworking,45.771997,4.873836,71 Rue Francis de Pressense 69100 Villeurbanne,0.93,,,1,Métropole de LYON,84,Auvergne et Rhône-Alpes,69266,69,Villeurbanne,148543,100000 et plus,8214,LYON,500 000-6 000 000,1799726
32,Coworkain,4 rue des Casernes,0,Bourg-en-Bresse,01053,Bourg-en-Bresse,,,,Tiers lieux à dominante coworking,46.204867,5.222629,4 Rue des Casernes 01000 Bourg-en-Bresse,0.93,,,0,,84,Auvergne et Rhône-Alpes,01053,01,Bourg-en-Bresse,40967,20000-50000,8202,BOURG-EN-BRESSE,100 000-200 000,134894
33,Le chaudron - Kosmoss.biz,15 rue de la presse,42000,Saint-Étienne,42218,Saint-Étienne,,,,Tiers lieux à dominante coworking,45.457575,4.39732,15 Rue de la Presse 42000 Saint-Étienne,0.93,,,1,Saint-Etienne Métropole,84,Auvergne et Rhône-Alpes,42218,42,Saint-Étienne,170761,100000 et plus,60,SAINT-ÉTIENNE,500 000-6 000 000,640159
34,CHLOROFEEL,7 rue de la gare,69330,MEYZIEU,69282,Meyzieu,,,,Tiers lieux à dominante coworking,45.771142,4.999637,7 Rue de la Gare 69330 Meyzieu,0.92,,,1,Métropole de LYON,84,Auvergne et Rhône-Alpes,69282,69,Meyzieu,32225,20000-50000,8214,LYON,500 000-6 000 000,1799726
35,Le Mille,23 parc d'activité du bois saint Michel,19200,Ussel,0,Ussel,,,,Tiers lieux à dominante coworking,45.514321,2.259063,PLACE A LA MAIN,0.99,,,0,,75,Nouvelle Aquitaine,19180,19,Saint-Angel,699,0-5000,7402,USSEL,0-50 000,31138
36,Open Work,8 RUE JOSEPH CUGNOT,38300,Bourgoin-Jallieu,38053,Bourgoin-Jallieu,,,,Tiers lieux à dominante coworking,45.588141,5.260357,8 Rue Joseph Cugnot 38300 Bourgoin-Jallieu,0.92,,,0,,84,Auvergne et Rhône-Alpes,38053,38,Bourgoin-Jallieu,27366,20000-50000,8209,BOURGOIN-JALLIEU,200 000-500 000,223538
37,Troquet Numérique,17 avenue d'Italie,38300,Bourgoin-Jallieu,38053,Bourgoin-Jallieu,,,,Tiers lieux à dominante coworking,45.58481,5.278505,17 Avenue d'Italie 38300 Bourgoin-Jallieu,0.92,,,0,,84,Auvergne et Rhône-Alpes,38053,38,Bourgoin-Jallieu,27366,20000-50000,8209,BOURGOIN-JALLIEU,200 000-500 000,223538
38,Cowork In Voiron,80 boulevard Franklin Roosevelt,38500,Voiron,38563,Voiron,,,,Tiers lieux à dominante coworking,45.361232,5.594631,80 Boulevard Franklin Roosevelt 38500 Voiron,0.93,,,0,,84,Auvergne et Rhône-Alpes,38563,38,Voiron,20162,20000-50000,8210,GRENOBLE,500 000-6 000 000,813732
39,Travail associe,6 Rue Emmanuel Chabrier,26000,Valence,26362,Valence,,,,Tiers lieux à dominante coworking,44.938118,4.931961,6 Rue Emmanuel Chabrier 26000 Valence,0.93,,,0,,84,Auvergne et Rhône-Alpes,26362,26,Valence,62150,50000-100000,8208,VALENCE,200 000-500 000,345779
40,Coworkimmo Annemasse,985 Route des Bois Enclos,74100,Juvigny,74145,Juvigny,,,,Tiers lieux à dominante coworking,46.212857,6.282528,Route des Bois Enclos 74100 Juvigny,0.81,,,0,,84,Auvergne et Rhône-Alpes,74145,74,Juvigny,645,0-5000,8219,LE GENEVOIS FRANÇAIS,200 000-500 000,404610
41,Stop and Work Montereau,5 rue du Châtelet,77130,Montereau-Fault-Yonne,77305,Montereau-Fault-Yonne,,,,Tiers lieux à dominante coworking,48.381577,2.9439,5 Rue du Châtelet 77130 Montereau-Fault-Yonne,0.92,,,0,,11,Île-de-France,77305,77,Montereau-Fault-Yonne,18339,5000-20000,1106,MONTEREAU-FAULT-YONNE,0-50 000,43511
42,REGGAD Estate Grenoble Seyssins,69 rue pasteur,38180,Seyssins,38486,Seyssins,,,,Tiers lieux à dominante coworking,45.165504,5.697498,69 Rue Pasteur 38180 Seyssins,0.91,,,1,Métropole Grenoble-Alpes-Métropole,84,Auvergne et Rhône-Alpes,38486,38,Seyssins,7074,5000-20000,8210,GRENOBLE,500 000-6 000 000,813732
43,Col'inn Meylan,55 Boulevard des Alpes,38240,Meylan,38229,Meylan,,,,Tiers lieux à dominante coworking,45.204709,5.779333,55 Boulevard des Alpes 38240 Meylan,0.93,,,1,Métropole Grenoble-Alpes-Métropole,84,Auvergne et Rhône-Alpes,38229,38,Meylan,17323,5000-20000,8210,GRENOBLE,500 000-6 000 000,813732
44,8 Fablab,rue Courre Commère,26400,Crest,26108,Crest,,,,Tiers lieux à dominante coworking,44.728227,5.023565,Rue Courre-Commère 26400 Crest,0.92,,,0,,84,Auvergne et Rhône-Alpes,26108,26,Crest,8211,5000-20000,8208,VALENCE,200 000-500 000,345779
45,Pimms Portes de Provence,130 Avenue de la gare,26290,Donzère,26116,Donzère,,,,Tiers lieux à dominante coworking,44.443442,4.704757,130 Avenue de la Gare 26290 Donzère,0.91,,,0,,84,Auvergne et Rhône-Alpes,26116,26,Donzère,5507,5000-20000,8206,MONTÉLIMAR,100 000-200 000,197330
46,Globe Worker Val d'Europe,1 rue de la fontaine,77700,Serris,77449,Serris,,,,Tiers lieux à dominante coworking,48.843751,2.796067,1 Rue de la Fontaine 77700 Serris,0.91,,,0,,11,Île-de-France,77449,77,Serris,8603,5000-20000,1102,MARNE-LA-VALLÉE,200 000-500 000,340256
47,Blue Office de Noisy-le-Grand,32 Avenue du Pavé Neuf,93160,Noisy-le-Grand,93051,Noisy-le-Grand,,,,Tiers lieux à dominante coworking,48.840056,2.556893,32 Avenue du Pavé Neuf 93160 Noisy-le-Grand,0.93,,,1,Métropole du Grand Paris,11,Île-de-France,93051,93,Noisy-le-Grand,64619,50000-100000,1102,MARNE-LA-VALLÉE,200 000-500 000,340256
48,Welcome Bazar,6 rue du docteur Naudier,77400,Lagny-sur-Marne,77243,Lagny-sur-Marne,,,,Tiers lieux à dominante coworking,48.876778,2.705978,6 Rue du Docteur Naudier 77400 Lagny-sur-Marne,0.92,,,0,,11,Île-de-France,77243,77,Lagny-sur-Marne,21302,20000-50000,1102,MARNE-LA-VALLÉE,200 000-500 000,340256
49,Deskeo Ivry,99 rue de molière,94200,Ivry-sur-Seine,94041,Ivry-sur-Seine,,,,Tiers lieux à dominante coworking,48.818108,2.390685,99 Rue Molière 94200 Ivry-sur-Seine,0.85,,,1,Métropole du Grand Paris,11,Île-de-France,94041,94,Ivry-sur-Seine,59793,50000-100000,1118,ORLY,500 000-6 000 000,510126
50,ESS'pace,15 rue jean antoine de Baïf,75013,Paris,75113,Paris,,,,Tiers lieux à dominante coworking,48.827045,2.383461,15 Rue Jean-Antoine de Baif 75013 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
51,City'Zen Paris,Esplanade du Château de Vincennes,75012,Paris,75112,Paris,,,,Tiers lieux à dominante coworking,48.84648,2.4131,Avenue de la Porte de Vincennes 75012 Paris,0.49,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
52,Skay(&Co)Working,42 rue Paul Vaillant Couturier,92240,Malakoff,92046,Malakoff,,,,Tiers lieux à dominante coworking,48.813026,2.296959,42 Rue Paul Vaillant-Couturier 92240 Malakoff,0.93,,,1,Métropole du Grand Paris,11,Île-de-France,92046,92,Malakoff,30428,20000-50000,1101,PARIS,500 000-6 000 000,5981175
53,Coworkspace Montrouge,12 avenue de la Marne,92120,Montrouge,92049,Montrouge,,,,Tiers lieux à dominante coworking,48.816736,2.307398,12 Avenue de la Marne 92120 Montrouge,0.93,,,1,Métropole du Grand Paris,11,Île-de-France,92049,92,Montrouge,48954,20000-50000,1101,PARIS,500 000-6 000 000,5981175
54,Brissard loft,52 rue Brissard,92140,Clamart,92023,Clamart,,,,Tiers lieux à dominante coworking,48.812926,2.266772,52 Rue Brissard 92140 Clamart,0.93,,,1,Métropole du Grand Paris,11,Île-de-France,92023,92,Clamart,52457,50000-100000,1101,PARIS,500 000-6 000 000,5981175
55,Bob Coworking,30 Rue Pernety,75014,Paris,75114,Paris,,,,Tiers lieux à dominante coworking,48.833464,2.319047,30 Rue Pernety 75014 Paris,0.95,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
56,KIWANDA,50 rue de Montreuil,75011,Paris,75111,Paris,,,,Tiers lieux à dominante coworking,48.850398,2.389013,50 Rue de Montreuil 75011 Paris,0.95,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
57,BUROL@B,1 Place de Verdun,78220,Viroflay,78686,Viroflay,,,,Tiers lieux à dominante coworking,48.799684,2.183221,1 Place de Verdun 78220 Viroflay,0.93,,,1,Métropole du Grand Paris,11,Île-de-France,92022,92,Chaville,19619,5000-20000,1116,SACLAY,500 000-6 000 000,1169116
58,Cool & Workers - Dahomey,2 rue du dahomey,75011,Paris,75111,Paris,,,,Tiers lieux à dominante coworking,48.851137,2.381705,2 Rue du Dahomey 75011 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
59,Mel Mich & Martin,8 rue saint Bernard,75011,Paris,75111,Paris,,,,Tiers lieux à dominante coworking,48.850968,2.381639,8 Rue Saint-Bernard 75011 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
60,L'Autre Thé - Mouffetard,40 rue Mouffetard,75005,Paris,75105,Paris,,,,Tiers lieux à dominante coworking,48.843711,2.349368,40 Rue Mouffetard 75005 Paris,0.95,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
61,Nice Cowo,5 rue de Nice,75011,Paris,75111,Paris,,,,Tiers lieux à dominante coworking,48.854577,2.390661,5 Rue de Nice 75011 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
62,IBIS Paris Vaugirard,5 Rue Eugène Gibez,75015,Paris,75115,Paris,,,,Tiers lieux à dominante coworking,48.835887,2.294978,5 Rue Eugène Gibez 75015 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
63,Friends,383 bis rue de Vaugirard,75015,Paris,75115,Paris,,,,Tiers lieux à dominante coworking,48.835533,2.293078,383 BIS Rue de Vaugirard 75015 Paris,0.95,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
64,Les Mots,4 rue Dante,75005,Paris,75105,Paris,,,,Tiers lieux à dominante coworking,48.851387,2.346768,4 Rue Dante 75005 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
65,L'Autre Thé - Lacharrière,17 rue Lacharrière,75011,Paris,75111,Paris,,,,Tiers lieux à dominante coworking,48.862403,2.378818,17 Rue Lacharrière 75011 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
66,Easywork By Mercure Paris Boulogne,37 place René Clair,92100,Boulogne-Billancourt,92012,Boulogne-Billancourt,,,,Tiers lieux à dominante coworking,48.83375,2.256415,37 Place René Clair 92100 Boulogne-Billancourt,0.93,,,1,Métropole du Grand Paris,11,Île-de-France,92012,92,Boulogne-Billancourt,116927,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
67,Place Gustave,7 rue Croix Nivert,75015,Paris,75115,Paris,,,,Tiers lieux à dominante coworking,48.841942,2.293544,Rue de la Croix Nivert 75015 Paris,0.74,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
68,Le 16 & Co à l'ibis Styles Paris 16 Sud,19 avenue ferdinand buisson,75016,Paris,75116,Paris,,,,Tiers lieux à dominante coworking,48.836639,2.253668,19 Avenue Ferdinand Buisson 75016 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
69,Ionis 361,95 Avenue Parmentier,75011,Paris,75111,Paris,,,,Tiers lieux à dominante coworking,48.866278,2.373609,95 Avenue Parmentier 75011 Paris,0.95,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
70,Comics Corner,25 boulevard Voltaire,75011,Paris,75111,Paris,,,,Tiers lieux à dominante coworking,48.865016,2.368332,25 Boulevard Voltaire 75011 Paris,0.96,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
71,Coworking Republic,59 rue de Bretagne,75003,Paris,75103,Paris,,,,Tiers lieux à dominante coworking,48.863992,2.360465,59 Rue de Bretagne 75003 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
72,StationW @ 153,153 rue saint-martin,75003,Paris,75103,Paris,,,,Tiers lieux à dominante coworking,48.861959,2.351708,153 Rue Saint-Martin 75003 Paris,0.95,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
73,L'Oasis,98 Boulevard Murat,75016,Paris,75116,Paris,,,,Tiers lieux à dominante coworking,48.837317,2.259696,Boulevard Murat 75016 Paris,0.86,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
74,Studio72,72 rue de la Mare,75020,Paris,75120,Paris,,,,Tiers lieux à dominante coworking,48.872254,2.389847,72 Rue de la Mare 75020 Paris,0.95,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
75,ESPACE DES PEINTRES,4 impasse des Peintres,75002,Paris,75102,Paris,,,,Tiers lieux à dominante coworking,48.863884,2.350528,4 Impasse des Peintres 75002 Paris,0.92,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
76,BUG,15 rue de Turbigo,75002,Paris,75102,Paris,,,,Tiers lieux à dominante coworking,48.864029,2.349313,15 Rue de Turbigo 75002 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
77,TWO - eat work café,11 rue Notre Dame de Nazareth,75003,Paris,75103,Paris,,,,Tiers lieux à dominante coworking,48.867069,2.360516,11 Rue Notre-Dame de Nazareth 75003 Paris,0.95,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
78,weréso Paris Châtelet,151 rue Saint Denis,75002,Paris,75102,Paris,,,,Tiers lieux à dominante coworking,48.864827,2.350185,151 Rue Saint-Denis 75002 Paris,0.95,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
79,Le Co-Work,62 rue Jean Jacques Rousseau,75001,Paris,75101,Paris,,,,Tiers lieux à dominante coworking,48.864084,2.343733,62 Rue Jean-Jacques Rousseau 75001 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
80,Le Gloster,111 Avenue de la Bourdonnais,75007,Paris,75107,Paris,,,,Tiers lieux à dominante coworking,48.855029,2.304487,111 Avenue de la Bourdonnais 75007 Paris,0.95,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
81,Bliss Studio,70 rue notre dame de nazareth,75003,Paris,75103,Paris,,,,Tiers lieux à dominante coworking,48.867817,2.356104,70 Rue Notre-Dame de Nazareth 75003 Paris,0.95,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
82,The Fashion Loft les Halles,37 rue Coquillere,75001,Paris,75101,Paris,,,,Tiers lieux à dominante coworking,48.864448,2.340942,37 Rue Coquillière 75001 Paris,0.85,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
